,Count,X1,X2,X3
Mean_DC1_SAPvsSH,-15.258216,Mean,DC1,SAPvsSH
Mean_DC1_SAPvsTD6,NaN,Mean,DC1,SAPvsTD6
Mean_DC1_SHvsTD6,NaN,Mean,DC1,SHvsTD6
Mean_DC2_SAPvsSH,-7.172996,Mean,DC2,SAPvsSH
Mean_DC2_SAPvsTD6,-49.367089,Mean,DC2,SAPvsTD6
Mean_DC2_SHvsTD6,-45.454545,Mean,DC2,SHvsTD6
Mean_DC3_SAPvsSH,10.655738,Mean,DC3,SAPvsSH
Mean_DC3_SAPvsTD6,-50.819672,Mean,DC3,SAPvsTD6
Mean_DC3_SHvsTD6,-55.555556,Mean,DC3,SHvsTD6
Mean_DC4_SAPvsSH,-3.898305,Mean,DC4,SAPvsSH
Mean_DC4_SAPvsTD6,-43.050847,Mean,DC4,SAPvsTD6
Mean_DC4_SHvsTD6,-40.740741,Mean,DC4,SHvsTD6
Mean_DC5_SAPvsSH,-3.333333,Mean,DC5,SAPvsSH
Mean_DC5_SAPvsTD6,-40,Mean,DC5,SAPvsTD6
Mean_DC5_SHvsTD6,-37.931034,Mean,DC5,SHvsTD6
Mean_DC6_SAPvsSH,-26.612903,Mean,DC6,SAPvsSH
Mean_DC6_SAPvsTD6,-54.83871,Mean,DC6,SAPvsTD6
Mean_DC6_SHvsTD6,-38.461538,Mean,DC6,SHvsTD6
Mean_DC7_SAPvsSH,-34.883721,Mean,DC7,SAPvsSH
Mean_DC7_SAPvsTD6,-48.837209,Mean,DC7,SAPvsTD6
Mean_DC7_SHvsTD6,-21.428571,Mean,DC7,SHvsTD6
Mean_DC8_SAPvsSH,-11.368015,Mean,DC8,SAPvsSH
Mean_DC8_SAPvsTD6,-34.489403,Mean,DC8,SAPvsTD6
Mean_DC8_SHvsTD6,-26.086957,Mean,DC8,SHvsTD6
Mean_DC9_SAPvsSH,-14.132379,Mean,DC9,SAPvsSH
Mean_DC9_SAPvsTD6,-28.443649,Mean,DC9,SAPvsTD6
Mean_DC9_SHvsTD6,-16.666667,Mean,DC9,SHvsTD6
Mean_DC10_SAPvsSH,-18.333333,Mean,DC10,SAPvsSH
Mean_DC10_SAPvsTD6,-26.666667,Mean,DC10,SAPvsTD6
Mean_DC10_SHvsTD6,-10.204082,Mean,DC10,SHvsTD6
